pos.x		pos.y		pos.z  		u			v	  		nrm.x		nrm.y		nrm.z
----------------------------------------------------------------------------------------
+1.0,		0.0,		+1.0,		+0.0,		-1.0,		+0.0,		-1.0,		+0.0,		
-1.0,		0.0,		+1.0,		-1.0,		-1.0,		+0.0,		-1.0,		+0.0,		
-1.0,		0.0,		-1.0,		-1.0,		+0.0,		+0.0,		-1.0,		+0.0,		
-1.0,		2.0,		-1.0,		+2.0,		-0.0,		+0.0,		+1.0,		+0.0,		
-1.0,		2.0,		+1.0,		+2.0,		-1.0,		+0.0,		+1.0,		+0.0,		
+1.0,		2.0,		+1.0,		+1.0,		-1.0,		+0.0,		+1.0,		+0.0,		
+1.0,		0.0,		-1.0,		+0.0,		+0.0,		+1.0,		-0.0,		+0.0,		
+1.0,		2.0,		-1.0,		+1.0,		-0.0,		+1.0,		-0.0,		+0.0,		
+1.0,		2.0,		+1.0,		+1.0,		-1.0,		+1.0,		-0.0,		+0.0,		
+1.0,		0.0,		+1.0,		+0.0,		-1.0,		-0.0,		-0.0,		+1.0,		
+1.0,		2.0,		+1.0,		+0.0,		-2.0,		-0.0,		-0.0,		+1.0,		
-1.0,		2.0,		+1.0,		-1.0,		-2.0,		-0.0,		-0.0,		+1.0,		
-1.0,		2.0,		+1.0,		-2.0,		-1.0,		-1.0,		-0.0,		-0.0,		
-1.0,		2.0,		-1.0,		-2.0,		+0.0,		-1.0,		-0.0,		-0.0,		
-1.0,		0.0,		-1.0,		-1.0,		+0.0,		-1.0,		-0.0,		-0.0,		
+1.0,		0.0,		-1.0,		+0.0,		+0.0,		+0.0,		+0.0,		-1.0,		
-1.0,		0.0,		-1.0,		-1.0,		+0.0,		+0.0,		+0.0,		-1.0,		
-1.0,		2.0,		-1.0,		-1.0,		+1.0,		+0.0,		+0.0,		-1.0,		
+1.0,		0.0,		-1.0,		+0.0,		+0.0,		+0.0,		-1.0,		+0.0,		
+1.0,		2.0,		-1.0,		+1.0,		-0.0,		+0.0,		+1.0,		+0.0,		
+1.0,		0.0,		+1.0,		+0.0,		-1.0,		+1.0,		-0.0,		+0.0,		
-1.0,		0.0,		+1.0,		-1.0,		-1.0,		-0.0,		-0.0,		+1.0,		
-1.0,		0.0,		+1.0,		-1.0,		-1.0,		-1.0,		-0.0,		-0.0,		
+1.0,		2.0,		-1.0,		+0.0,		+1.0,		+0.0,		+0.0,		-1.0
